Date,jp_w_i_delta,uk_w_i_delta,au_w_i_delta,de_w_i_delta,ca_w_i_delta,nz_w_i_delta,usdjpy_w_delta,usdcad_w_delta,nzdusd_w_delta,gbpusd_w_delta,eurusd_w_delta,audusd_w_delta
26-Jul-15,0.003,0.065,0.035,0.052,0.046,-0.04,-0.28,-0.004,-0.003,0.0128,0.0019,-0.0114
19-Jul-15,0.013,0.132,0.165,0.09,0.08,0.16,-0.12,-0.004,-0.001,-0.011,-0.0004,-0.0022
12-Jul-15,0.01,-0.005,-0.001,0.106,0.118,0.03,0.26,-0.008,-0.007,0.0095,-0.0154,0.0089
5-Jul-15,0.049,-0.075,0.125,-0.102,0.014,0.12,-1.33,-0.031,0.021,-0.0083,0.0334,0.0074
28-Jun-15,-0.013,0.19,-0.026,0.128,0.173,0.09,0.06,-0.008,-0.003,0.0045,-0.005,0.0064
21-Jun-15,-0.05,-0.177,-0.187,-0.16,-0.157,-0.06,1.05,-0.026,0.015,0.0181,0.0052,0.0145
14-Jun-15,0.082,-0.017,0.14,0.09,0.092,0.21,-1.19,-0.005,0.006,0.0132,0.0187,0.0116
7-Jun-15,-0.019,0.082,0.04,-0.003,0.019,0.005,0.72,0.006,0.007,-0.0325,-0.0084,-0.004
31-May-15,-0.091,-0.273,-0.318,-0.363,-0.204,-0.235,2.23,0.012,0.006,-0.0287,-0.0156,-0.0101
24-May-15,0.023,0.115,0.198,0.117,0.149,0.13,-1.48,0.001,0.006,0.0019,-0.0125,0.0011
17-May-15,-0.022,-0.019,-0.001,0.036,-0.057,-0.07,-2.59,-0.017,0.021,0.0199,0.003,0.0189
10-May-15,0.022,-0.023,-0.073,-0.094,-0.013,-0.1,-2.26,-0.027,0.016,0.0233,0.0435,0.0204
3-May-15,-0.055,-0.027,-0.184,-0.181,-0.04,-0.105,0.52,0.006,0.002,-0.0267,-0.0249,-0.0101
26-Apr-15,-0.072,-0.199,-0.117,-0.206,-0.219,-0.1,0.36,0.009,0.005,-0.0315,-0.0003,-0.0081
