Date,Open,High,Low,Close
1992-03-13,227.33,230.46,227.33,228.71
1992-03-20,229.7,231.1,227.97,228.69
1992-03-27,229.38,231.3,229.38,231.3
1992-04-03,230.62,232.31,230.62,232.31
1992-04-10,232.25,234.55,231.75,234.55
1992-04-17,234.8,235.18,233.82,233.82
1992-04-24,234.27,238.35,234.27,238.35
1992-05-01,236.82,236.87,236.33,236.87
1992-05-08,236.59,238.43,236.59,238.37
1992-05-15,238.78,238.78,236.23,236.9
1992-05-22,236.42,237.52,234.79,234.79
1992-05-29,235.28,236.45,233.69,233.69
1992-06-05,232.32,232.85,232.1,232.71
1992-06-12,232.98,234.55,232.98,234.55
1992-06-19,235.36,236.35,235.31,235.97
1992-06-26,236.5,238.07,236.5,238.07
1992-07-03,238.66,239.61,238.09,238.09
1992-07-10,237.77,240.89,237.77,240.89
1992-07-17,241.08,242.89,239.06,242.89
1992-07-24,240.37,242.45,239.23,242.45
1992-07-31,244.76,246.09,244.51,244.51
1992-08-07,244.85,245.94,243.6,245.94
1992-08-14,246.75,246.75,241.93,241.93
1992-08-21,242.12,245.57,242.12,245.57
1992-08-28,248.46,248.52,244.31,244.31
1992-09-04,244.64,246.38,244.64,245.81
1992-09-11,245.78,245.78,238.95,238.95
1992-09-18,234.96,234.96,216.96,216.96
1992-09-25,211.77,211.77,205.12,206.39
1992-10-02,206.73,213.78,206.01,206.01
1992-10-09,203.26,206.2,203.26,206.2
1992-10-16,208.14,208.14,198.22,198.22
1992-10-23,195.37,197.86,195.37,196.77
1992-10-30,193.58,193.67,192.72,192.72
1992-11-06,189.92,190.64,188.7,189.3
1992-11-13,188.23,191.94,188.23,191.94
1992-11-20,189.58,189.58,188.83,188.83
1992-11-27,188.29,188.85,187.88,187.88
1992-12-04,188.27,195.2,188.27,194.49
1992-12-11,197.44,197.97,192.4,192.88
1992-12-18,193.42,194.57,192.91,192.91
1992-12-25,192.53,192.53,188.74,188.74
1993-01-01,188.55,188.86,188.43,188.86
1993-01-08,188.38,193.2,188.38,193.1
1993-01-15,194.31,194.31,192.89,192.96
1993-01-22,194.88,194.88,189.86,191.32
1993-01-29,192.21,192.21,185.57,185.57
1993-02-05,181.67,181.67,178.28,180.01
1993-02-12,178.35,178.35,170.69,171.3
1993-02-19,171.41,173.2,171.41,173.07
1993-02-26,169.16,170.14,167.92,167.92
1993-03-05,170.72,170.72,169.73,170.15
1993-03-12,168.48,169.03,168.33,168.78
1993-03-19,169.97,172.74,168.82,172.74
1993-03-26,172.07,173.41,171.55,173.41
1993-04-02,174.1,174.4,172.89,172.89
1993-04-09,172.71,173.09,172.09,172.96
