Date,Open,High,Low,Close
2008-09-05,4.22,4.22,4.14,4.18
2008-09-12,4.18,4.18,4.05,4.05
2008-09-19,3.85,3.85,3.78,3.78
2008-09-26,3.8,3.81,3.8,3.8
2008-10-10,3.78,3.78,3.29,3.29
2008-10-17,3.25,3.3,3.21,3.21
2008-10-24,3.31,3.32,3.23,3.23
2008-10-31,3.24,3.24,3.11,3.11
2008-11-07,3.13,3.13,3.06,3.06
2008-11-14,3.03,3.03,2.9,2.92
2008-11-21,3,3.07,3,3.07
2008-11-28,3.06,3.18,3,3.02
2008-12-05,3.04,3.06,2.92,2.92
2008-12-12,2.94,3,2.94,3
2008-12-19,2.93,2.93,2.76,2.76
2008-12-26,2.74,2.78,2.74,2.76
2009-01-02,2.76,2.76,2.76,2.76
2009-01-09,2.75,2.75,2.7,2.7
2009-01-16,2.72,2.93,2.72,2.93
2009-01-23,2.9,3.05,2.9,3.02
2009-02-06,3.08,3.29,3.08,3.19
2009-02-13,3.2,3.25,3.14,3.14
2009-02-20,3.17,3.23,3.15,3.15
2009-02-27,3.14,3.14,3.1,3.1
2009-03-06,3.12,3.24,3.12,3.24
2009-03-13,3.19,3.19,3.12,3.12
2009-03-20,3.12,3.13,3.11,3.13
2009-03-27,3.12,3.14,3.12,3.14
2009-04-03,3.15,3.19,3.15,3.19
2009-04-10,3.2,3.2,3.2,3.2
2009-04-17,3.2,3.2,3.18,3.18
2009-04-24,3.18,3.18,3.17,3.18
2009-05-01,3.17,3.17,3.16,3.16
2009-05-08,3.14,3.14,3.08,3.08
2009-05-15,3.08,3.08,3.06,3.06
2009-05-22,3.06,3.07,3.06,3.07
2009-05-29,3.06,3.07,3.06,3.07
2009-06-05,3.09,3.09,3.08,3.09
2009-06-12,3.1,3.15,3.09,3.13
2009-06-19,3.14,3.14,3.14,3.14
2009-06-26,3.15,3.19,3.15,3.18
2009-07-03,3.18,3.26,3.18,3.25
2009-07-10,3.26,3.3,3.26,3.3
2009-07-17,3.31,3.43,3.31,3.43
2009-07-24,3.47,3.47,3.43,3.43
2009-07-31,3.47,3.49,3.46,3.48
2009-08-07,3.54,3.54,3.52,3.54
2009-08-14,3.53,3.53,3.52,3.53
2009-08-21,3.55,3.55,3.51,3.52
2009-08-28,3.51,3.51,3.5,3.5
2009-09-04,3.51,3.51,3.48,3.48
2009-09-11,3.49,3.49,3.47,3.48
2009-09-18,3.46,3.47,3.46,3.47
2009-09-25,3.47,3.5,3.46,3.5
2009-10-02,3.5,3.51,3.49,3.51
2009-10-09,3.52,3.52,3.52,3.52
2009-10-16,3.58,3.76,3.58,3.76
2009-10-23,3.73,3.73,3.7,3.7
2009-10-30,3.7,3.73,3.7,3.71
2009-11-06,3.73,3.74,3.73,3.74
2009-11-13,3.73,3.75,3.73,3.75
2009-11-20,3.74,3.74,3.74,3.74
2009-11-27,3.72,3.73,3.71,3.71
2009-12-04,3.66,3.66,3.6,3.6
2009-12-11,3.63,3.63,3.62,3.63
2009-12-18,3.63,3.64,3.63,3.64
2009-12-25,3.62,3.64,3.62,3.64
2010-01-01,3.63,3.64,3.63,3.64
2010-01-08,3.66,3.66,3.65,3.66
2010-01-15,3.66,3.7,3.66,3.68
2010-01-22,3.69,3.69,3.65,3.66
2010-01-29,3.62,3.62,3.57,3.57
