Date,Open,High,Low,Close,
12/31/2010,5.685,5.745,5.543,5.545,0.14
1/7/2011,5.545,5.63,5.505,5.622,-0.077
1/14/2011,5.555,5.603,5.44,5.514,0.041
1/21/2011,5.525,5.661,5.514,5.654,-0.129
1/28/2011,5.625,5.648,5.46,5.499,0.126
2/4/2011,5.458,5.725,5.445,5.682,-0.224
2/11/2011,5.738,5.835,5.68,5.693,0.045
2/18/2011,5.69,5.73,5.615,5.64,0.05
2/25/2011,5.653,5.653,5.51,5.536,0.117
3/4/2011,5.49,5.608,5.475,5.582,-0.092
3/11/2011,5.553,5.579,5.45,5.484,0.069
3/18/2011,5.433,5.529,5.281,5.395,0.038
3/25/2011,5.404,5.46,5.387,5.435,-0.031
4/1/2011,5.478,5.558,5.31,5.537,-0.059
4/8/2011,5.408,5.646,5.402,5.644,-0.236
4/15/2011,5.565,5.685,5.513,5.584,-0.019
4/22/2011,5.533,5.599,5.405,5.47,0.063
4/29/2011,5.47,5.59,5.398,5.432,0.038
5/6/2011,5.415,5.533,5.34,5.429,-0.014
5/13/2011,5.38,5.473,5.348,5.368,0.012
5/20/2011,5.207,5.478,5.207,5.317,-0.11
5/27/2011,5.515,5.515,5.215,5.23,0.285
6/3/2011,5.13,5.34,5.078,5.234,-0.104
6/10/2011,5.14,5.375,5.084,5.178,-0.038
6/17/2011,5.173,5.268,5.053,5.123,0.05
6/24/2011,5.12,5.14,5.047,5.084,0.036
7/1/2011,5.025,5.284,4.991,5.279,-0.254
7/8/2011,5.265,5.285,5.162,5.234,0.031
7/15/2011,5.095,5.131,4.9,4.911,0.184
7/22/2011,4.918,5.033,4.878,4.972,-0.054
7/29/2011,4.943,5.003,4.794,4.803,0.14
8/5/2011,4.85,4.902,4.422,4.475,0.375
8/12/2011,4.508,4.648,4.332,4.432,0.076
8/19/2011,4.455,4.61,4.182,4.23,0.225
8/26/2011,4.259,4.498,4.25,4.395,-0.136
9/2/2011,4.422,4.477,4.372,4.41,0.012
9/9/2011,4.303,4.348,4.157,4.266,0.037
9/16/2011,4.163,4.25,4.067,4.243,-0.08
9/23/2011,4.17,4.221,3.994,4.015,0.155
9/30/2011,4.066,4.3,3.999,4.22,-0.154
10/7/2011,4.153,4.294,3.99,4.242,-0.089
10/14/2011,4.3,4.493,4.285,4.435,-0.135
10/21/2011,4.485,4.578,4.432,4.492,-0.007
10/28/2011,4.5,4.64,4.366,4.545,-0.045
11/4/2011,4.513,4.532,4.193,4.314,0.199
11/11/2011,4.345,4.368,4.036,4.135,0.21
11/18/2011,4.202,4.218,3.992,3.992,0.21
11/25/2011,4.035,4.04,3.806,3.852,0.183
12/2/2011,3.931,4.063,3.882,4.018,-0.087
12/9/2011,4.023,4.023,3.807,3.859,0.164
12/16/2011,3.855,3.865,3.722,3.766,0.089
12/23/2011,3.729,3.809,3.694,3.74,-0.011
12/30/2011,3.752,3.806,3.709,3.719,0.033
1/6/2012,3.704,3.854,3.704,3.8,-0.096
1/13/2012,3.799,3.818,3.74,3.808,-0.009
1/20/2012,3.709,3.825,3.669,3.81,-0.101
1/27/2012,3.88,3.998,3.835,3.835,0.045
2/3/2012,3.832,3.843,3.648,3.708,0.124
2/10/2012,3.86,4.078,3.79,4.025,-0.165
2/17/2012,3.985,4.041,3.933,4.037,-0.052
2/24/2012,4.085,4.13,4.01,4.095,-0.01
3/2/2012,4.054,4.116,3.955,4.085,-0.031
3/9/2012,4.061,4.087,3.905,3.993,0.068
3/16/2012,3.972,4.273,3.912,4.219,-0.247
3/23/2012,4.259,4.345,4.149,4.174,0.085
3/30/2012,4.148,4.205,3.956,3.977,0.171
4/6/2012,4.158,4.168,4.024,4.046,0.112
4/13/2012,3.932,3.942,3.796,3.868,0.064
4/20/2012,3.809,3.877,3.775,3.817,-0.008
4/27/2012,3.828,3.828,3.638,3.648,0.18
5/4/2012,3.655,3.707,3.53,3.54,0.115
5/11/2012,3.442,3.45,3.305,3.332,0.11
5/18/2012,3.247,3.304,3.076,3.096,0.151
5/25/2012,3.099,3.2,3.076,3.142,-0.043
6/1/2012,3.193,3.198,2.832,2.852,0.341
6/8/2012,2.709,3.123,2.698,3.067,-0.358
6/15/2012,2.992,3.072,2.93,2.991,0.001
6/22/2012,3.055,3.213,2.965,3.059,-0.004
6/29/2012,3.068,3.111,2.936,3.076,-0.008
7/6/2012,3.215,3.253,3.093,3.1,0.115
7/13/2012,3.01,3.033,2.844,2.881,0.129
7/20/2012,2.916,2.963,2.871,2.927,-0.011
7/27/2012,2.839,2.949,2.767,2.939,-0.1
8/3/2012,3.173,3.188,3.044,3.114,0.059
8/10/2012,3.293,3.363,3.215,3.233,0.06
8/17/2012,3.268,3.5,3.247,3.445,-0.177
8/24/2012,3.43,3.437,3.255,3.265,0.165
8/31/2012,3.26,3.275,3.067,3.118,0.142
9/7/2012,3.047,3.128,2.96,3.108,-0.061
9/14/2012,3.072,3.217,3.037,3.197,-0.125
9/21/2012,3.443,3.443,3.26,3.32,0.123
9/28/2012,3.253,3.267,2.99,3.037,0.216
10/5/2012,3.047,3.08,2.922,3.057,-0.01
10/12/2012,3.09,3.115,3.007,3.045,0.045
10/19/2012,3.04,3.25,3.005,3.203,-0.163
10/26/2012,3.138,3.31,3.128,3.255,-0.117
11/2/2012,3.213,3.237,3.122,3.188,0.025
11/9/2012,3.172,3.237,3.095,3.118,0.054
11/16/2012,3.078,3.1,3.03,3.043,0.035
11/23/2012,3.088,3.307,3.068,3.307,-0.219
11/30/2012,3.293,3.297,3.142,3.168,0.125
12/7/2012,3.165,3.215,3.125,3.132,0.033
12/14/2012,3.188,3.405,3.132,3.388,-0.2
12/21/2012,3.408,3.42,3.3,3.335,0.073
12/28/2012,3.332,3.372,3.313,3.332,0
1/4/2013,3.328,3.463,3.328,3.453,-0.125
1/11/2013,3.447,3.505,3.392,3.48,-0.033
1/18/2013,3.45,3.475,3.293,3.422,0.028
1/25/2013,3.378,3.398,3.273,3.328,0.05
2/1/2013,3.443,3.535,3.443,3.535,-0.092
2/8/2013,3.59,3.615,3.453,3.485,0.105
2/15/2013,3.48,3.612,3.45,3.533,-0.053
2/22/2013,3.572,3.618,3.527,3.547,0.025
3/1/2013,3.527,3.527,3.322,3.35,0.177
3/8/2013,3.315,3.545,3.283,3.545,-0.23
3/15/2013,3.593,3.718,3.577,3.64,-0.047
3/22/2013,3.509,3.614,3.47,3.568,-0.059
3/29/2013,3.614,3.651,3.411,3.431,0.183
4/5/2013,3.42,3.465,3.288,3.332,0.088
4/12/2013,3.249,3.383,3.194,3.309,-0.06
4/19/2013,3.248,3.293,3.175,3.2,0.048
4/26/2013,3.213,3.238,3.105,3.171,0.042
5/3/2013,3.122,3.132,3.02,3.05,0.072
5/10/2013,3.122,3.245,3.106,3.235,-0.113
5/17/2013,3.309,3.317,3.174,3.174,0.135
5/24/2013,3.24,3.427,3.228,3.323,-0.083
5/31/2013,3.344,3.472,3.274,3.376,-0.032
6/7/2013,3.448,3.462,3.24,3.339,0.109
6/14/2013,3.37,3.509,3.37,3.411,-0.041
6/21/2013,3.379,3.763,3.374,3.734,-0.355
6/28/2013,3.92,4.011,3.757,3.77,0.15
7/5/2013,3.799,3.843,3.763,3.843,-0.044
7/12/2013,4.005,4.007,3.746,3.751,0.254
7/19/2013,3.758,3.781,3.665,3.687,0.071
7/26/2013,3.675,3.798,3.648,3.798,-0.123
8/2/2013,3.75,3.801,3.665,3.772,-0.022
8/9/2013,3.652,3.742,3.587,3.724,-0.072
8/16/2013,3.691,4.001,3.688,3.986,-0.295
8/23/2013,4.016,4.133,3.954,4.06,-0.044
8/30/2013,3.988,4.024,3.864,3.912,0.076
9/6/2013,3.947,4.165,3.941,4.161,-0.214
9/13/2013,4.108,4.208,4.057,4.11,-0.002
9/20/2013,4.075,4.175,3.964,4.046,0.029
9/27/2013,4.061,4.079,3.946,3.979,0.082
10/4/2013,3.874,4.07,3.859,4.064,-0.19
10/11/2013,4.079,4.176,4.053,4.159,-0.08
10/18/2013,4.095,4.285,4.095,4.124,-0.029
10/25/2013,4.096,4.124,3.963,3.97,0.126
11/1/2013,4.004,4.084,3.964,4.074,-0.07
11/8/2013,4.138,4.226,4.121,4.136,0.002
11/15/2013,4.236,4.298,4.17,4.205,0.031
11/22/2013,4.219,4.359,4.183,4.328,-0.109
11/29/2013,4.289,4.306,4.199,4.228,0.061
12/6/2013,4.274,4.449,4.274,4.436,-0.162
12/13/2013,4.434,4.434,4.31,4.328,0.106
12/20/2013,4.319,4.329,4.223,4.294,0.025
12/27/2013,4.274,4.291,4.24,4.281,-0.007
1/3/2014,4.289,4.359,4.266,4.353,-0.064
1/10/2014,4.401,4.411,4.269,4.275,0.126
1/17/2014,4.215,4.264,4.1,4.105,0.11
1/24/2014,4.084,4.225,4.051,4.056,0.028
1/31/2014,4.049,4.128,3.991,4.004,0.045
2/7/2014,4.019,4.156,3.943,4.156,-0.137
2/14/2014,4.163,4.244,4.114,4.114,0.049
2/21/2014,4.169,4.228,4.136,4.225,-0.056
2/28/2014,4.203,4.203,4.018,4.029,0.174
3/7/2014,3.981,4.19,3.964,4.175,-0.194
3/14/2014,4.226,4.229,4.048,4.053,0.173
3/21/2014,4.036,4.17,4.022,4.17,-0.134
3/28/2014,4.175,4.188,4.071,4.078,0.097
4/4/2014,4.101,4.229,4.093,4.166,-0.065
4/11/2014,4.099,4.117,4.009,4.02,0.079
4/18/2014,3.983,4.038,3.953,3.955,0.028
4/25/2014,4.041,4.05,3.953,3.973,0.068
5/2/2014,3.93,3.972,3.913,3.915,0.015
5/9/2014,3.918,3.918,3.82,3.826,0.092
5/16/2014,3.853,3.871,3.708,3.721,0.132
5/23/2014,3.751,3.827,3.673,3.811,-0.06
5/30/2014,3.78,3.782,3.624,3.683,0.097
6/6/2014,3.69,3.81,3.681,3.79,-0.1
6/13/2014,3.812,3.863,3.785,3.794,0.018
6/20/2014,3.78,3.788,3.647,3.683,0.097
6/27/2014,3.681,3.711,3.529,3.535,0.146
7/4/2014,3.557,3.612,3.536,3.592,-0.035
7/11/2014,3.594,3.621,3.427,3.429,0.165
7/18/2014,3.444,3.49,3.341,3.371,0.073
7/25/2014,3.415,3.467,3.358,3.454,-0.039
8/1/2014,3.427,3.548,3.421,3.541,-0.114
8/8/2014,3.463,3.51,3.316,3.325,0.138
8/15/2014,3.396,3.473,3.382,3.4,-0.004
8/22/2014,3.37,3.52,3.329,3.485,-0.115
8/29/2014,3.49,3.49,3.29,3.302,0.188
9/5/2014,3.309,3.505,3.293,3.482,-0.173
9/12/2014,3.465,3.661,3.435,3.651,-0.186
9/19/2014,3.658,3.753,3.624,3.737,-0.079
9/26/2014,3.673,3.68,3.5,3.501,0.172
10/3/2014,3.54,3.544,3.398,3.471,0.069
10/10/2014,3.452,3.454,3.301,3.341,0.111
10/17/2014,3.269,3.34,3.173,3.234,0.035
10/24/2014,3.34,3.346,3.22,3.287,0.053
10/31/2014,3.342,3.352,3.241,3.317,0.025
11/7/2014,3.337,3.373,3.246,3.364,-0.027
11/14/2014,3.314,3.379,3.279,3.353,-0.039
11/21/2014,3.304,3.32,3.267,3.284,0.02
11/28/2014,3.263,3.266,3.045,3.045,0.218
12/5/2014,3.018,3.16,2.999,3.058,-0.04
12/12/2014,3.063,3.099,2.858,2.901,0.162
12/19/2014,2.914,3.021,2.836,3.019,-0.105
12/26/2014,2.95,2.973,2.906,2.959,-0.009
1/2/2015,2.953,2.956,2.826,2.88,0.073
1/9/2015,2.776,2.782,2.653,2.734,0.042
1/16/2015,2.686,2.715,2.525,2.568,0.118
1/23/2015,2.624,2.689,2.583,2.647,-0.023
1/30/2015,2.597,2.63,2.452,2.452,0.145
2/6/2015,2.411,2.489,2.265,2.463,-0.052
2/13/2015,2.569,2.637,2.509,2.514,0.055
2/20/2015,2.58,2.633,2.526,2.582,-0.002
2/27/2015,2.601,2.601,2.425,2.474,0.127
3/6/2015,2.485,2.656,2.478,2.643,-0.158
3/13/2015,2.778,2.778,2.523,2.561,0.217
3/20/2015,2.539,2.542,2.323,2.393,0.146
3/27/2015,2.395,2.428,2.314,2.414,-0.019
4/3/2015,2.386,2.398,2.279,2.306,0.08
4/10/2015,2.321,2.393,2.269,2.376,-0.055
4/17/2015,2.367,2.393,2.279,2.362,0.005
4/24/2015,2.4,2.557,2.39,2.557,-0.157
